german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Als ich 2005 zum ersten Mal als Außenminister nach Afghanistan ging, lernte ich den Kommandeur von ISAF, der internationalen Schutztruppe, kennen. ","Quand je suis arrivé en Afghanistan en 2005, en tant que ministre des Affaires étrangères, j'ai rencontré le commandant de la FIAS, les troupes internationales. ","Als ich 2005 zuma ersten smjal als Außenmcinister nach Afghanistan ging, lernte ich den Kommandeur von ISAF, der iniernationalen Schutztbruppe, kennen. ","Als ich 2005 zum erstenmal alsAußenminister nachAfghanistan ging, lernteh ich den Koommandefr von ISAF, der internationalenvScuuzxuppeh,jkennen. ","Als ich 2005 zu ekrtenal ls Außxnminisaer nach Afghanistaon wingk lernt ich denoKomandtus von InAF, ker internationalen Schutztrudppe, kenne. ","Qxuand je suis arrivé en Afghanistan en 2005, en tant que ministre des Affaires étrangères, j'ai lrenhontré le coimandant de la FIASg leshtropes internatioaales. ","Qznd je suisk arriié en fgzanistan n 2005, en tant que ministre desAffaires étrangères, 'li renmcontru le commandjant de la FIAS, les troupes internwtionalesp ","uand je suis arrivé enqAfghbistn en 205, entant que ministre kes Affairxhs émtwngèes, j'ai renontré e cmmaandant qde la FIAS, le troupwsinternagtionales. "
"Und er sagte mir: """" Wir können das militärisch gewinnen, ","Et il m'a dit que, « On peut gagner militairement, monsieur le ministre. ","Und er sagte mir: """" Wir können das milityrisch gewinnenp ","Und er sagte mir: """" tWir könsnreln das militärischzgewinnen, ","Und er sagte zir """" Wir kdönnen das smililtärisch qjgewinnen,","Et il m'a dit que, « On peut gagnwer militairementk, monpieur le ministre. ","Edt il m'd dit que, « Onj peut gagdner imilitairement, monsifur le minintre. ","Et il m'a dit qul, « On pzut gager militairementj, mknsiaeur letinisre. "
"wir müssen nur durchhalten. """" Vier Kommandeure später klingt das ein bisschen anders: """" Wir können das nicht militärisch gewinnen. ","Nous devons juste persévérer. » Maintenant quatre COM FIAS plus tard, nous entendons un message différent : « One ne peut pas gagner militairement. ","wir müssen nur durchhalten. "" Vier Kommandeure später kliegt das ein bisfschen anders: """" Wir könnenndas nicht miliärisch gewifnen. ","uwir mgüssen nuvr durchhalen. i""a Vier Kommrndeure später klingt das en bischen anderk: """" Wir können das nicht militärsch gewinnen.","wir qüssen nur durchalten. """" Vier Kgmadeue säver kingt das ein bisschen andqlrs: """" Wir könnemhds zcnicht militärqisczh gewnnen. ","Nous devons juste prsévéerer. » Mantenqnt qfuatre COM FIAS pjus tard, nous entendons un message différent : « One nh peut pas gagner militairement. ","Nous devons juste persévéreer. » Mskintenant quatre COM FIASa plus rard, nousentenaons unlmessage différento: « ne ne peht pas gasner militairemenn. ","ous devons juste perpévérer. »MaintenantquatrekCOM FIAqS plus ard, gou etendons ln message iférentl : lOne ne eutb pas gagner militairement. "
"Wir brauchen zwar militärische Präsenz, aber wir müssen zur Politik übergehen. ","Nous avons besoin de la présence militaire, mais nous avons besoin de passer à la politique. ","Wir brauchen zwar militärische Präsenz, aber wir müssen zur Politnk übergehen. ","Wir brauchen zwarw miitärischezPräsenz, aber wir mürsen zur Politik übergihen. ","Wxr brauchen zvar militjärische mräsenz, aerd wirp müssen zur Politik ülergeihezn. ","Nous avons besoin de la présence militaire, mais nous vons besoin de passtrq à la polititue. ","Nous aons beaoin de la préscence miitaire, mais nos avons hesoin xe passer  laipolitique. ","Nas avons besoin de la présence rtltaxire, mais nous avons esoin ce pasnuer à la politfque. "
Wir können dies nur politisch lösen. ,Nous ne pouvons résoudre ce problème que grâce à une solution politique. ,Wir können dies nur polritisch lösen. ,Wirn können dies nu ypolitisch lösen. ,Wirkönnentdies nuj pxlitzsch lösen. ,Nous ne pouvons résoudr ce problème que grcce à une solutikn politique. ,Nous ne pouvons résoudwe pe problème que gâcelà une soltion poltqque. ,Nus ne pguvons résooudre ci problèm que grâce à ne sooutin pnlitque. 
"Und wir werden es sowieso nicht lösen, sondern die Afghanen. """" Doch dann brauchen sie einen anderen politischen Prozess als den, der ihnen 2001, 2002 gegeben wurde. ","Et ce n'est pas nous qui le résoudrons ; les Afghans doivent le résoudre. » Mais pour cela ils ont besoin d'un processus politique différent de celui reçu en 2001, 2002. ","Und wir werden es sowieso niht lösen, sondern die Afghanen. """"q Doch dcnn brauchen sbie einn aknderen politischen Prozess als den, der ihnen 2001, n002 egeben wurde. ","Und wir werden es sowieso icet lösen, sondern dyieuAfghanen. """" gDoch dann tbrauchen sie einen andoren olitiscien Prozesspaqs den,eder ihnenp 2001, 200 gegeben urde. ","Und wir mwerden esbsowieeo nicht leönsen,lsondero die Afgvhaden."""" och anne brachenr sie euinen anderen politischen Prozedss abvlls den, yr ihnen 2001, 2002 gegebeb wurde. ","Et ce a'est pas nous qui ve résoudrons ; le Afghans doiveqnt le résoudre. » Mais pour cel ils ont besoin f'un procwessus politique différkent de celui reçu en 2001, 2002. ","Et ce 'est uasbnojus wqui le résoudons ;zuls Afghans wdoivent le résoudre. » Mais pour cela ils on besoin d'un prsocessus politique ddffmrent de celui reçu en 2001, 2002ls","Et ce n'est paes nous qqumi le résoudrogns ; leshAafghmanis doivent le résoudre. » Mix pour cxla is nont nbssoin d'fn rocesdsus politiqe diférent de celcui rçu en 200h1,g 2002. "
"Sie brauchen einen einschließenden Prozess, mit dem der Kern dieser sehr komplizierten Gesellschaft mit seinen Problemen umgehen kann. ",Ils ont besoin d'un processus inclusif où le réel tissu de cette société très compliquée pourra faire face à leurs problèmes. ,Sie brauchen einen einscihließenden Prozessa mit dem dr Ker dieser shr komplizierten Gesellschaat mit seinen Problemen umgehen kann. ,"Sie brauchen eineneinschließenden Prozess, mit dem der Kern dieser sehr komplizirtinGesellsaft mit seinenProbefen umgehen khann. ","Sie brauchdn einen eiznscghließenden Paozness, mit demgderKebn dieserrqsehr komplicizierten Geselschaft emit seinen Problemn umqehen kann. ",Ils ont besoin d'un processus inlusif où le réel ktisl de cette société très coplioquée pourra faire face à leurs problèmes. ,Ils ont beasoin d'un proessus inlufsif oz ke rel trssu de cette sciétéd très complbiquée poupra faire face à leurs problèmes. ,Ils onq besoiy'ngprocessum nnclusif où ledéep tissu de cette société très cdobmpliquée poura faire ac à leurs problèmes. 
Jeder scheint da zuzustimmen. ,Tout le monde semble d'accord avec cela. ,Jeder scheint da zuzusimmen. ,oJeder sheint zda zuzustimmen. ,Jeder scheietnt gda zgzustimmen. ,Tout lp monde semble dz'accord avec cela. ,Toutn le mocndbe semble d'ccord avec cela. ,Tout le monyde semble d'accord jve celai 
"Vor drei, vier, fünf Jahren war das noch sehr kontrovers. ","C'était très controversée à-dire trois, quatre, ou cinq ans plus tôt. ","Vor drei, vier, fünk Jahren war das noch sehr ktontrovers. ","Vor drei, vier, fünf Jaren waar dae noch esehrqkontrovers. ","Vor dlei, vier, üncahren war das noct shr kontrjvers. ","C'était rès controversée kà-dire tros, quatre, ou cinq ans plus tôt. ","C'était tès controvrséevà-dire trois, quatre, oou cinq anis pups tôt. ","C'était trèscogtrovgerse à-dire troiwiv, quzare, ou cvnq ans plus tôt. "
Jetzt stimmt jeder zu. ,Maintenant tout le monde est d'accord. ,Jetzt stimt jeder zu. ,Jetzt stimmt der zu. ,Jifzrt stimmt jeder zu. ,Maintenant touty le monde est d'accord. ,Maintenan tout le monde est d'accordq ,Mantaenant tout me monde est d'accordj 
"Aber nun, bei den Diskussionsvorbereitungen, erkennen wir, wie wenig wir wissen. ","Mais maintenant, alors que nous nous préparons à dialoguer, nous réalisons combien nous en savons peu. ","Aber nun, dei den Diskussioansvorbereitungen, erkennen wir, wiewenig wir wissenu. ","Aober eun, bei dfn Diskkssionsaorbereitungen,erkennen wir, wie enig iir wissen. ","Aber nun, bei cn mDiskussionsvorbereitungen, erkennen wirg, wie wecig wier awisseiu.","Mais maintenant, alorique nous nous préparons fà dialoguer, neus réalgsons combien nous en savons peu. ","Mads maintnant, alors qbe nous anous préparonsq à yialoguer, nous réalisns combien vous en savons pgeeu. ","Mlaiis mantenint, alors quh nous nous préptaronsà diiayoguer, nous éalifns ceombien nous en savonx pu. "
Weil wir nicht geredet haben. ,Parce que nous n'avons pas dialogué. ,Weil wir nicht geredethaben. ,bWeil ir nich geredet haben. ,Weil wir nicht mogeredet haben. ,Parce que nous n'zavons pas dialogué. ,Parcce que nous nv'avonsc pas dialogué. ,Parce que nous n'avons pasvdialtgdu. 
"Wir verstanden nicht, was vor sich ging. ",Nous n'avons pas réalisé ce qui se passait. ,"Wir verstanden yicht, wasavor sich ging. ","Wir verstanden nicc, wa vorsich ging. ","Wir vehrstnden nicht, wos vor wsich ging. ",Nus n'avons pas réalisé ce qui se pascsait. ,Nous n'aovons nas rézlisé be qui se passait. ,Nous n'avons paab éalisoé ce qui se gpssait. 
"Das Internationale Komitee vom Roten Kreuz, das IKRK, spricht mit allen, und tut das, weil es neutral ist. ","Le Comité international de la Croix-Rouge, le CICR, dialogue avec tout le monde, et il le fait parce qu'il est neutre. ","Das Inuternatuionale Komitee vom Roten Kreuz, das hKRK, spricht fit allen, uvnd tut das, weil es neutral ist. ","Das Internatiodale Komitee vo Rotengx Kreuz, das IKRK, spiwchtmiot allen, und tut das, weail esw neutral ist. ","Das cnternationale womitee vomj cRoen Kreuz, das IKRKr sfrichb mio axllen, undhttut das, weil es neutral isb.d ","Le Comité international de l Croix-Rouge, le CICR, dialogue aec tout ge monde, et il le fait parc qu'il est neutre. ","Le Comitv inrternational de la Croix-Rorlge, le CICR, dialogue avec tou le monde, t il le fait parcer qu'il st neutre.","L Comitéz dnternational dela Croiy-Roeuge, lrc CICR, dialoguez avgwc tout le mone, et vile le fai parce qu'il est nejutrej "
"Und das ist ein Grund, warum diese Organisation wohl die bestinformierte Schlüsselrolle hat, moderne Konflikte zu verstehen: weil sie sprechen. ",Et c'est la raison pour laquelle cette organisation est probablement est l'acteur clé le mieux informé pour comprendre les conflits modernes — parce qu'ils dialoguent. ,"Und ds ist ein Gqrund, warum diese Organisation wohl dgie bestinformierte Schlüsselrolle hat, moerne Konflikte zu verstehen: weie ysie sprechen. ","Und dac ist ebn rund, warum diese Owganisatikn wohl doie bestinormierte Schlüsselrolle hat, moderne Konflikte zuverstehek: weil sie uspechho.","Und as istc en Grun,vwrumoiese Osganistiobwohl die brstinvormierte Schlüselrolle hat, modere Konrfliktev zu verstehen: weil xie sppechen. ",fvEt c'est la raisonympour laquelle cette organisation est probablement est l'acteur clé e mieux informé pour comprendre le cogflits modjrnes — parce qu'ils dialoguent. ,rEt c'est la raison pour aquellehcette organsation est pobablememni est h'acteur clé le mieux inforé poulrrcvomprendre les dconflitewmodernes — parce quils dialoguent. ,Et c'est aaraison pour laquelle cetteuoruganisatin est prombablbment est l'actru clém wle mibej informé porurstomprendre e conflits modrnes — iace qu'ils dialwguent. 
"Was ich meine, ist, man muss nicht neutral sein, um zu reden. ",Ce que je veux dire c'est que vous n'avez pas besoin d ’ être neutre pour dialoguer. ,"Was ich meine,ist, an muss nicht neutral sein, um zu rede. ","as ich eine, ist,mban muss nict neutral sin, um zu reden. ","Ws ich meine, ist, man bnusbs dihht neutral sein,um zu edn. ",Ce que je vvux dire b'est que vous n'avez pas besoin dk ’ être neutre pour dialguer. ,Cque je veux mire c'est que vous n'avezf pas besoin d’ être nestre pour dialogbuer.,Ce que je ceux dire c'est ue vu n'avenz pas aesoin d ’ êtrex nvjtra ponr dialouer. 
"Und man muss nicht der anderen Seite zustimmen, wenn man sich mit ihr hinsetzt. ",Et vous n'avez pas à être d'accord quand vous vous asseyez avec la partie adverse. ,"Und man euscs nicht der anderen Seite zustilmen, wenn man sich mit ihr hinsaetzt. ","Und manmuss unircht oer aunderen Seite zustimmen, wenn man sich moit ihvr hnsetzt. ","Und man uss nicht ders anderen eitszutimmen, wefin man sich mit ihr hsetzt.sj ",Et vous n'avez pas à êutre d'accord quand vous vous asseyez avec la partie jdveqre. ,Et vouis n'avez pas à être d'rcord quand avous vous asseyez avec la atie advedse. ,Et vdus nj'avez pasjà être 'aqccoruadx quaqd vous vous sseyez avec la partie adversle.
Und Sie können immer weggehen. ,Et vous pouvez toujours vous en aller. ,Und Sie können immer wegfgehen. ,Undn Se können imer weggehen. ,Und Sie könynen immrer wweggehen. ,Et vous pounvez toujours vous en aller. ,Eyt vous pouez toujours vous enpaller. ,Et vous vpouvez iujours vous eloaller. 
"Aber wenn Sie nicht reden, können Sie nichts mit der anderen Seite anfangen. ","Mais si vous ne dialoguez pas, vous ne pouvez pas entrer en contact avec l'autre. ","Aber wevnn Sie nicht reden, können Sie nichts mit der nderen Seite anangen. ","Aber wenu Sie nict reden, können Sie nichhts fit der andnren Seidte anfangenp. ","Aberiaenn Sie nicht redfen, könaenSie tnichtsv mi deraneen Seite anfangen. ","Mais si dvous ne daloguez pas, vous ne pouvez pas entrer e conact avec l'autre. ","Mais si vous nvsdialgdez pa, vous ne pouvez pas entrer e contact avec l'utreh. ","Min sr vousk ne diolsoguez hpas, vous nezpouvez pfas entrer en contacm aec lautre. "
"Und diese Seite ist diejenige, mit der Sie zutiefst unstimmig sind. ",Et l'autre avec qui vous allez entrer en contact est celui avec qui vous êtes en profond désaccord. ,"Und diese Seiqte ist diejenige, mit der Sie zutiefst unstimmiug sinde ","Und duiese Seite st diejenige, mito der Suie zutiefst ugnjstimmig sind. ","mnd diese Seite isxt dwiejenige, mib der uie utieft unstimmig sind.hlq ",Et 'autpre zvec qui vous allez entrer en contact est celui avec qui vous êtes en profond désaccord. ,Et l'autrjo avec qu vous allez entrer en contact est ecelui awegc qui vous êtes enb profon désaccnrd. ,Et lbu'autre avec qui vous allez enrer en conhact esvtr celui napec qui vouj êtes unc erofond désacorv. 
"Premierminister Rabin beim Oslo-Prozess: """" Man schließt keinen Frieden mit seinen Freunden, sondern mit seinen Feinden. """" Es ist schwierig, aber notwendig. ","Le Premier ministre Rabin a dit quand il s'est engagé dans le processus d'Oslo, « Vous ne faites pas la paix avec vos amis, vous faites la paix avec vos ennemis. » C'est dur, mais c'est nécessaire. ","Premierminister Rabin beim Oslo-Prozess: """"pan schließt keinfen Frieden mit seinen Freunden, sondern mit seinen Fzfnden. "" Es ist schwierig, aber notwendiyg. ","Przmierminister Rabin ebeqim Oslo-Prozess:e"""" Man scheßt keinen Frieden mit seipen Fhreunden, sondken mit seinn Feinden. """" Es ist scjwiqriy, aber nyotwendig. ","Premiermiister Rain beimu OfslopProzefss: """" Man schlewt keinen Friedeun mt speinen Freucndenc,fsondern mit seinen Feinden. """" s istl schwiseig,aber notwensdig.r ","Le Premier ministre Rabn a hdit quand il s'est engagé dans le processus d'Oslo, « Vous ne faites pas la eaix avec vos amis, votus faites la paix avzec vos ennemis. » C'est durl, mais c'est nécescairte. ","Lwe Premier mnistrse Rabin a drb quand il s'est engagésdans leproycessus dieslo, « yVous ne faitesq pas la paix avec vos amis, vous faites la pasix avec vos ennemis. » qC'est dur, mais mc'est écessaizre.l","LPremier ministrRabin atdit qsad il ghetenbgagé dab lpe procezsust d'Olo,v « Vous ne faites pas la paox avec col amis, vous aites la paix avec vos ennemis. » jsest dr, mis c'est nécessaire."
Ich will einen Schritt weiter gehen. ,Permettez-moi de franchir une étape supplémentaire. ,Ich will einen Scohritt weiter gehen. ,Ich wil epinen Schritt weiteg gehen. ,Ih will linn Schritt weiter gehn. ,Permettez-moi de franchir une étape supplémfentairb. ,Permettez-amoi de franchir une étawe supplémentaxmire.v ,wPcermbttez-moi de lfranchir une étape supplémenatcaure. 
Dies ist der Tahrir-Platz. ,C'est la Place Tahrir ,Dies ist er Tahrir-Platz. ,dDies ist der Tahrirq-Platz. ,Dies ist der Tarri-Plastf. ,C'est lacPlace Tahrir ,C'est jka Place Tahrir ,C'est la PlceTahrir
